Team,Premierships,Years Won,Runner-ups,Years Runner-up
Adelaide,2,"1998, 1997",1,2017
Brisbane Lions,3,"2003, 2002, 2001",2,"2023, 2004"
Carlton,16,"1995, 1987, 1982, 1981, 1979, 1972, 1970, 1968, 1947, 1945, 1938, 1915, 1914, 1908, 1907, 1906",13,"1999, 1993, 1986, 1973, 1969, 1962, 1949, 1932, 1921, 1916, 1910, 1909, 1904"
Collingwood,15,"2010, 1990, 1958, 1953, 1936, 1935, 1930, 1929, 1928, 1927, 1919, 1917, 1910, 1903, 1902",27,"2018, 2011, 2003, 2002, 1981, 1980, 1979, 1977, 1970, 1966, 1964, 1960, 1956, 1955, 1952, 1939, 1938, 1937, 1926, 1925, 1922, 1920, 1918, 1915, 1911, 1905, 1901"
Collingwood ,1,2023,0,
Essendon,16,"2000, 1993, 1985, 1984, 1965, 1962, 1950, 1949, 1946, 1942, 1924, 1923, 1912, 1911, 1901, 1897",14,"2001, 1990, 1983, 1968, 1959, 1957, 1951, 1948, 1947, 1943, 1941, 1908, 1902, 1898"
Fitzroy,8,"1944, 1922, 1916, 1913, 1905, 1904, 1899, 1898",5,"1923, 1917, 1906, 1903, 1900"
Footscray,1,1954,1,1961
Geelong,9,"2011, 2009, 2007, 1963, 1952, 1951, 1937, 1931, 1925",10,"2020, 2008, 1995, 1994, 1992, 1989, 1967, 1953, 1930, 1897"
Geelong Cats,1,2022,0,
Hawthorn,13,"2015, 2014, 2013, 2008, 1991, 1989, 1988, 1986, 1983, 1978, 1976, 1971, 1961",6,"2012, 1987, 1985, 1984, 1975, 1963"
Melbourne,13,"2021, 1964, 1960, 1959, 1957, 1956, 1955, 1948, 1941, 1940, 1939, 1926, 1900",5,"2000, 1988, 1958, 1954, 1946"
North Melbourne,4,"1999, 1996, 1977, 1975",5,"1998, 1978, 1976, 1974, 1950"
Port Adelaide,1,2004,1,2007
Richmond,13,"2020, 2019, 2017, 1980, 1974, 1973, 1969, 1967, 1943, 1934, 1932, 1921, 1920",12,"1982, 1972, 1944, 1942, 1940, 1933, 1931, 1929, 1928, 1927, 1924, 1919"
South Melbourne,3,"1933, 1918, 1909",8,"1945, 1936, 1935, 1934, 1914, 1912, 1907, 1899"
St Kilda,1,1966,6,"2010, 2009, 1997, 1971, 1965, 1913"
Sydney Swans,2,"2012, 2005",5,"2022, 2016, 2014, 2006, 1996"
West Coast,4,"2018, 2006, 1994, 1992",3,"2015, 2005, 1991"
Western Bulldogs,1,2016,1,2021
Fremantle Dockers,0,,1,2013
GWS Giants,0,,1,2019
